page,page_title,active_visitors
whitehouse.gov/1600/presidents/abrahamlincoln,Abraham Lincoln | whitehouse.gov,22
whitehouse.gov/contact,Submit Your Comments and Questions Online | whitehouse.gov,22
applicationmanager.gov/sso.aspx,Application Manager,21
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.youtube.com/watch?v=anc8tt1wdhi,IRS Disclaimer,21
cdc.gov/flu/about/season/flu-season-2015-2016.htm,What You Should Know for the 2015-2016 Influenza Season | Seasonal Influenza (Flu) | CDC,21
cdc.gov/meningitis/bacterial.html,Meningitis | About Bacterial Meningitis Infection | CDC,21
cdc.gov/norovirus/,Norovirus | Home | CDC,21
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,STD Facts - Gonorrhea,21
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,STD Facts - HPV and Men,21
choosemyplate.gov/grains,All about the Grains Group | Choose MyPlate,21
consumerfinance.gov/,CFPB > Consumer Financial Protection Bureau,21
energystar.gov/,ENERGY STAR | The Simple Choice for Energy Efficiency,21
fbo.gov/?s=opportunity&mode=list&tab=searchresults,Opportunities - Federal Business Opportunities: Opportunities,21
fec.gov/finance/disclosure/advindsea.shtml,Advanced Individual Search,21
find.irs.gov/search?utf8=?&affiliate=irs-fp&commit=search,1040 - IRS Current Forms & Publications Search Search Results,21
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.89Â°N and Longitude 77.02Â°W (Elev. 20 ft),21
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.07Â°N and Longitude 89.4Â°W (Elev. 879 ft),21
ftccomplaintassistant.gov/gettingstarted,GettingStarted - FTC Complaint Assistant,21
irs.gov/businesses/small-businesses-&-self-employed/report-of-foreign-bank-and-financial-accounts-fbar,Report of Foreign Bank and Financial Accounts (FBAR),21
irs.gov/publications/p970/ch04.html,"Publication 970 (2015), Tax Benefits for Education",21
irs.gov/publications/p970/ch06.html,"Publication 970 (2015), Tax Benefits for Education",21
irs.gov/uac/e-help-desk-toll-free-number,e-help Desk Toll-Free Number,21
nfc.usda.gov/clientservices/hr_payroll/index.php,HR and Payroll Client Services | National Finance Center,21
niddk.nih.gov/health-information/informacion-de-la-salud/anatomia/aparato-digestivo/pages/fact.aspx,El aparato digestivo y su funcionamiento | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),21
nlm.nih.gov/medlineplus/spanish/highbloodpressure.html,PresiÃ_n arterial alta: MedlinePlus en espaÃ±ol,21
nsopw.gov/en/search,Search,21
opm.gov/cybersecurity,Cybersecurity Resource Center,21
safercar.gov/,Home | Safercar -- National Highway Traffic Safety Administration (NHTSA),21
ssa.gov/disabilityssi/ssi.html,Supplemental Security Income (SSI) Benefits,21
studentaid.ed.gov/sa/eligibility,Who Gets Aid | Federal Student Aid,21
travel.state.gov/content/passports/en/passports/faqs.html,Frequently Asked Questions,21
travel.state.gov/content/passports/en/passports/lost-stolen.html,Lost or Stolen Passports,21
travel.state.gov/content/visas/en.html,U.S. Visa,21
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/contact.html,Begin National Visa Center (NVC) Processing,21
travel.state.gov/vpv404/content/travel/en/404.html/,404 - Page Not Found,21
usaid.gov/,U.S. Agency for International Development,21
usajobs.gov/applicant/application/listapplications?pagenum=1&showhiddenrecords=false,USAJOBS - Application Status,21
uscg.mil/,US Coast Guard Home,21
uscis.gov/i-751,Petition to Remove Conditions on Residence | USCIS,21
uscis.gov/i-765-addresses,"Direct Filing Addresses for Form I-765, Application for Employment Authorization | USCIS",21
uscis.gov/i-821d,Consideration of Deferred Action for Childhood Arrivals | USCIS,21
va.gov/landing2_contact.htm,Contact Us,21
weather.gov/phi/,"Mount Holly, NJ",21
apps.irs.gov/app/withholdingcalculator/,2016 Withholding Calculator,20
apps.irs.gov/app/withholdingcalculator/index2.jsp,2016 Withholding Calculator,20
bis.doc.gov/,BIS Website,20
catalog.usmint.gov/product-schedule/?view=all,Sites-USM-Site,20
cdc.gov/flu/weekly/,Weekly U.S. Influenza Surveillance Report | Seasonal Influenza (Flu) | CDC,20
cdc.gov/meningitis/index.html,Meningitis | Home | CDC,20
cdc.gov/zika/hc-providers/qa-sexual-transmission.html,QA: Zika and Sexual Transmission | Zika virus | CDC,20
cdc.gov/zika/prevention/index.html,Prevention | Zika virus | CDC,20
consumerfinance.gov/regulatory-implementation/tila-respa/,TILA-RESPA Integrated Disclosure rule implementation > Consumer Financial Protection Bureau,20
data.bls.gov/timeseries/lns14000000,Bureau of Labor Statistics Data,20
doi.gov/,U.S. Department of the Interior | Protecting America's Great Outdoors and Powering Our Future,20
ebenefits.va.gov/ebenefits/about/feature?feature=compensation-pension-claim-status,About This Feature - eBenefits,20
ebuy.gsa.gov/advantage/ebuy/seller/active_rfqs.do,GSA Advantage! eBuy Active RFQs,20
faq.ssa.gov/ics/support/kbanswer.asp?deptid=34019&task=knowledge&questionid=3708,Selected Topic,20
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3709&hitoffset=30+19&docid=1914,How can I get a Social Security Statement that shows a record of my earnings and an estimate of my future benefits?,20
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3734,How do I apply for Social Security retirement benefits?,20
faq.ssa.gov/link/portal/34011/34019/article/3707/how-do-i-check-the-status-of-a-pending-application-for-benefits,How do I check the status of a pending application for benefits?,20
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.53Â°N and Longitude 122.67Â°W (Elev. 200 ft),20
grants.nih.gov/grants/funding/424/index.htm,SF424 (R&R) Application and Electronic Submission Information | grants.nih.gov,20
iris.custhelp.com/app/answers/detail/a_id/1703,Toll Free Numbers for Contacting VA,20
irs.gov/individuals/tax-return-transcript-types-and-ways-to-order-them,Transcript Types and Ways to Order Them,20
irs.gov/publications/p527/ch02.html,"Publication 527 (2015), Residential Rental Property",20
irs.gov/tax-professionals/ptin-requirements-for-tax-return-preparers,PTIN Requirements for Tax Return Preparers,20
irs.gov/tax-professionals/standard-mileage-rates,Standard Mileage Rates,20
irs.gov/uac/latest-news,Latest News,20
irs.gov/uac/where-to-file-addresses-for-tax-professionals,Where to File Addresses for Taxpayers and Tax Professionals,20
nasa.gov/feature/nasa-plant-researchers-explore-question-of-deep-space-food-crops/,NASA Plant Researchers Explore Question of Deep-Space Food Crops | NASA,20
nces.ed.gov/collegenavigator/,College Navigator - National Center for Education Statistics,20
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a682733-es.html,Cefalexina: MedlinePlus medicinas,20
nlm.nih.gov/medlineplus/spanish/ency/article/003482.htm,Examen de glucemia: MedlinePlus enciclopedia mÃ©dica,20
opm.gov/about-us/contact-us/,Contact Us,20
portal.hud.gov/hudportal/hud?src=/topics/rental_assistance,Rental Assistance/U.S. Department of Housing and Urban Development (HUD),20
safeharbor.export.gov/list.aspx,Safe Harbor - List,20
socialsecurity.gov/hlp/global/hlp-statement-7004-revi.htm,Request For Social Security Statement (SSA-7004),20
therealcost.betobaccofree.hhs.gov/index.html,Home | The Real Cost,20
travel.state.gov/content/passports/en/passports/photos/photo-examples.html,Passport Photo Examples,20
travel.state.gov/content/visas/en/general/wait-times.html/,Visa Appointment & Processing Wait Times,20
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/supporting_documents.html,Collect Supporting Documents,20
tsa.gov/travel/frequently-asked-questions,Frequently Asked Questions | Transportation Security Administration,20
uscis.gov/i-539,Application To Extend/Change Nonimmigrant Status | USCIS,20
weather.gov/satellite?image=ir,Satellite Images,20
apps.irs.gov/app/picklist/list/formspublications.html?indexoffirstrow=325&sortcolumn=sortorder&value=&criteria=&resultsperpage=25&isdescending=false,Forms and Publications (PDF),19
apps.irs.gov/app/scripts/exit.jsp?dest=http://fast.free1040taxreturn.com/,IRS Disclaimer,19
blogs.nasa.gov/spacestation/2016/02/17/station-boosts-orbit-before-heavy-spacecraft-traffic-period/,Station Boosts Orbit before Heavy Spacecraft Traffic Period | Space Station,19
cdc.gov/flu/consumer/symptoms.htm,Flu Symptoms & Severity | Seasonal Influenza (Flu) | CDC,19
ceac.state.gov/genniv/general/complete/complete_securityandbackground1.aspx?node=securityandbackground1,Nonimmigrant Visa - Security and Background: Part 1,19
ceac.state.gov/ivapp/ivapp/complete/complete_family1.aspx?node=parents,Immigrant Visa - Family Information: Parents,19
ceac.state.gov/ivapp/ivapp/complete/complete_personal.aspx?node=personal1,Application for Immigrant Visa and Alien Registration - Personal Information 1,19
cpars.cpars.gov/cpars/app/usermainmenu_input.action,CPARS/FAPIIS,19
defense.gov/news/news-releases,News Releases,19
drugabuse.gov/publications/drugfacts/mdma-ecstasy-or-molly,DrugFacts: MDMA (Ecstasy or Molly) | National Institute on Drug Abuse (NIDA),19
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Estado de Caso,19
export.gov/safeharbor/,(not set),19
ferc.gov/docs-filing/elibrary.asp,FERC: Documents & Filing - FERC Online - eLibrary,19
foodsafety.gov/keep/charts/mintemp.html,Safe Minimum Cooking Temperatures | FoodSafety.gov,19
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.43Â°N and Longitude 79.98Â°W (Elev. 814 ft),19
gsaauctions.gov/gsaauctions/aucbystate/,"GSA Auctions, General Services Administration, Government Site for Auctions",19
irs.gov/businesses/small-businesses-&-self-employed/independent-contractor-self-employed-or-employee,Independent Contractor (Self-Employed) or Employee?,19
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit,Earned Income Tax Credit (EITC),19
irs.gov/publications/p17/ch03.html,"Publication 17 (2015), Your Federal Income Tax",19
irs.gov/publications/p502/ar02.html,"Publication 502 (2015), Medical and Dental Expenses",19
irs.gov/taxtopics/tc502.html,Tax Topics - Topic 502 Medical and Dental Expenses,19
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=appointments,My HealtheVet,19
nasa.gov/mission_pages/station/main/index.html,International Space Station | NASA,19
nces.ed.gov/,"National Center for Education Statistics (NCES) Home Page, a part of the U.S. Department of Education",19
nlm.nih.gov/medlineplus/spanish/ency/article/000369.htm,SÃ_ndrome del ovario poliquÃ_stico: MedlinePlus enciclopedia mÃ©dica,19
nlm.nih.gov/medlineplus/spanish/ency/article/003138.htm,Orina con sangre: MedlinePlus enciclopedia mÃ©dica,19
osha.gov/law-regs.html,OSHA Law & Regulations,19
portal.fmcsa.dot.gov/wps/myportal/enforcement/e/home/!ut/p/a1/hy4xd4iweiv_cwnr7wru4ty4aagoxeshi6kkbvn6pfr-v2gcew97l9-xdyagb2hk0cjpgjjsv7nyxby7vo_wksjgsytbktsgsrzifahhobgb_hec__lneppi4gvmtcqglkbr592cm2sykxc2repbwva0y1071_ubh33sydqpwdxeesnu5jiiwudnqjftdk29g3xkgq7n8bhuq8o97wxxje_h/dl5/d5/l2dbisevz0fbis9nqseh/,FMCSA Portal,19
safercar.gov/rs/takata/takatalist.html,NHTSA Recalls Spotlight - Takata Air Bag Recalls,19
socialsecurity.gov/payee/form/index.htm,Social Security - Representative Payee Program - Fact Sheet (English),19
ssa.gov/medicare/,Medicare Benefits,19
ssa.gov/planners/retire/1943.html,Full Retirement Age: If You Were Born Between 1943 And 1954,19
store.usgs.gov/b2c_usgs/usgs/maplocator/(ctype=areadetails&xcm=r3standardpitrex_prd&carea=$root&layout=6_1_61_48&uiarea=2)/.do,"The USGS Store - One stop shop for all your maps, world, United States, state, wall decor, historic, planetary, topographic, trail, hiking, foreign, satellite, digital",19
studentaid.ed.gov/sa/?login=true,Federal Student Aid,19
studentaid.ed.gov/sa/glossary,Glossary | Federal Student Aid,19
studentaid.ed.gov/sa/types/loans,Loans | Federal Student Aid,19
travel.state.gov/content/visas/en/general/wait-times.html,Visa Appointment & Processing Wait Times,19
treasury.gov/connect/pages/contact-us.aspx,Contact Us,19
treasurydirect.gov/indiv/research/indepth/ebonds/res_e_bonds_eeredeem.htm,Individual - Redeeming (Cashing) EE and E Savings Bonds,19
usajobs.gov/applicant/application/applystart/423817000,ApplyPost,19
usajobs.gov/applicant/profile/hiringeligibilitydata,USAJOBS - Profile - Hiring Eligibility,19
usajobs.gov/applicant/profile/preferences,USAJOBS - Profile - Preferences,19
usastaffing.opm.gov/usastaffing/default.aspx,USA StaffingÂ®,19
uscis.gov/us-citizenship,U.S. Citizenship | USCIS,19
uspto.gov/trademarks-application-process/filing-online,Filing Online | USPTO,19
weather.gov/buf/,"Buffalo, NY",19
weather.gov/mkx/,"Milwaukee/Sullivan, WI",19
whitehouse.gov/1600/presidents,The Presidents | whitehouse.gov,19
wrh.noaa.gov/pqr/marine/bars_mover.php,NOAA's National Weather Service Bar Cameras,19
wrh.noaa.gov/total_forecast/getprod.php?prod=xxxafdlox&wfo=lox,National Weather Service - NWS Los Angeles/Oxnard,19
bhs.econ.census.gov/bhs/sas/index.html,Annual Services Report,18
catalog.usmint.gov/account-login,Account Login - Official US Mint Store,18
cbp.gov/contact,Contact Us | U.S. Customs and Border Protection,18
cdc.gov/norovirus/preventing-infection.html,Norovirus | Preventing Norovirus Infection | CDC,18
cdc.gov/std/hpv/pap/,Making Sense of Your Pap & HPV Test Results,18
cdc.gov/zika/fs-posters/index.html,Fact Sheets and Posters | Zika virus | CDC,18
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Document Name and State,18
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Document,18
fda.gov/drugs/default.htm,Drugs,18
fda.gov/food/ingredientspackaginglabeling/foodadditivesingredients/ucm397725.htm,Food Additives & Ingredients > Additional Information about High-Intensity Sweeteners Permitted for use in Food in the United States,18
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.6Â°N and Longitude 111.64Â°W (Elev. 9800 ft),18
gsa.gov/portal/category/26429,Travel Resources,18
help.usajobs.gov/index.php/jobs_for_federal_employees,Jobs for Federal Employees - USAJOBS Help,18
intern.nasa.gov/,Home - One Stop Shopping Initiativeâ€_ - NASA OEID LaunchPad,18
irs.gov/businesses/small-businesses-&-self-employed/how-long-should-i-keep-records,How long should I keep records?,18
irs.gov/businesses/small-businesses-&-self-employed/s-corporations,S Corporations,18
irs.gov/individuals/self-employed,Self-Employed Individuals Tax Center,18
irs.gov/publications/p590a/ch01.html,"Publication 590-A (2015), Contributions to Individual Retirement Arrangements (IRAs)",18
"irs.gov/uac/schedule-c-(form-1040),-profit-or-loss-from-business","Schedule C (Form 1040), Profit or Loss From Business",18
my.uscis.gov/prep/test/civics/view,USCIS - Test Results,18
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadreport&_pagelabel=downloaddata,My HealtheVet,18
nces.ed.gov/nceskids/createagraph/,Create A Graph,18
nhtsa.gov/,Home | National Highway Traffic Safety Administration (NHTSA),18
niddk.nih.gov/health-information/informacion-de-la-salud/enfermedades-urologicas/stones/pages/lo-que-usted-debe-saber-sobre-las-piedras-en-los-riÃ±ones.aspx,Lo que usted debe saber sobre las piedras en los riÃ±ones | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),18
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685001-es.html,Amoxicilina: MedlinePlus medicinas,18
nlm.nih.gov/medlineplus/spanish/ency/article/001214.htm,Diabetes : MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/003104.htm,"HinchazÃ_n de tobillos, pies y piernas: MedlinePlus enciclopedia mÃ©dica",18
nlm.nih.gov/medlineplus/spanish/ency/article/003493.htm,Nivel de triglicÃ©ridos: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/003645.htm,Hemoglobina: MedlinePlus enciclopedia mÃ©dica,18
nlm.nih.gov/medlineplus/spanish/ency/article/007490.htm,MediciÃ_n de la presiÃ_n arterial: MedlinePlus enciclopedia mÃ©dica,18
nps.gov/findapark/index.htm,Plan Your Adventure (U.S. National Park Service),18
nps.gov/grca/index.htm,Grand Canyon National Park (U.S. National Park Service),18
opm.gov/policy-data-oversight/classification-qualifications/classifying-general-schedule-positions/,Classifying General Schedule Positions,18
osha.gov/recordkeeping/rkforms.html,Recordkeeping | Injury & Illness Recordkeeping Forms,18
pafc.arh.noaa.gov/mesonet.php,"National Weather Service, Anchorage Forecast Office Mesonet",18
petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177?from=groupmessage&isappinstalled=0,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang! | We the People: Your Voice in Our Government,18
rd.usda.gov/publications/regulations-guidelines/handbooks,Handbooks | USDA Rural Development,18
spanish.caracas.usembassy.gov/b1_b2.html,"Visas B-1/B-2 (Visitante Temporal por Negocios o por Placer) | Caracas, Venezuela - Embajada de los Estados Unidos",18
spc.noaa.gov/products/,Storm Prediction Center Forecast Products,18
spc.noaa.gov/products/wwa/,"NWS - Watch, Warning, Advisory Display",18
ssa.gov/planners/retire/agereduction.html,Retirement Planner: Benefits By Year Of Birth,18
tsa.gov/travel/security-screening/identification,Identification | Transportation Security Administration,18
usa.gov/branches-of-government,Branches of Government | USA.gov,18
usa.gov/register-to-vote,Register to Vote | USA.gov,18
uscis.gov/es,Espanol Homepage | USCIS,18
uscis.gov/green-card/green-card-through-family/green-card-immediate-relative-us-citizen,Green Card for an Immediate Relative of a U.S. Citizen | USCIS,18
va.gov/opa/persona/index.asp,I am Veteran - US Department of Veterans Affairs,18
weather.gov/ctp/,"State College, PA",18
weather.gov/lot/,"Chicago, IL",18
whitehouse.gov/administration/first-lady-michelle-obama,First Lady Michelle Obama | whitehouse.gov,18
ada.gov/,ADA.gov homepage,17
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.freetaxusa.com/freefile,IRS Disclaimer,17
caweb.sba.gov/clcs/dsp_search.cfm,SBA - CLCS - Search,17
cdc.gov/nchs/w2w.htm,Where to Write for Vital Records - Homepage,17
ceac.state.gov/ctrac/invoice/signon.aspx,Sign In Page,17
ceac.state.gov/genniv/general/complete/complete_exchangevisitoraddcontact.aspx?node=exchangevisitor2,Nonimmigrant Visa - Additional Point of Contact Information,17
ceac.state.gov/genniv/general/review/review_reviewfamily.aspx?node=reviewfamily,Nonimmigrant Visa - Review Family Information,17
census.gov/dataviz/visualizations/stem/stem-html/,Where do college graduates work?,17
dol.gov/whd/regs/compliance/1421.htm,The Family and Medical Leave Act - Wage and Hour Division (WHD) - U.S. Department of Labor,17
eauth.va.gov/ebenefits/profile,Profile - eBenefits,17
eauth.va.gov/wssweb/wss-common-webparts/mvc/downloadletters,Letter Generator - Download VA Letters,17
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewchapter33educationinfo,Chapter 33,17
ebuy.gsa.gov/advantage/ebuy/start_page.do,GSA Advantage ! e-Buy,17
eric.ed.gov/,ERIC - Search Results,17
espanol.flu.gov/estar-en-contacto/12ln/localizadordevacunas-2011.html,Widget del buscador de vacunas contra la influenza | Flu.gov,17
faq.ssa.gov/ics/support/default.asp?deptid=34019&_referrer=,Frequently Asked Questions,17
fda.gov/default.htm,U S Food and Drug Administration Home Page,17
freshempire.betobaccofree.hhs.gov/,Fresh Empire,17
irs.gov/affordable-care-act/employers/questions-and-answers-about-information-reporting-by-employers-on-form-1094-c-and-form-1095-c,Questions and Answers about Information Reporting by Employers on Form 1094-C and Form 1095-C,17
irs.gov/affordable-care-act/individuals-and-families/the-health-insurance-marketplace,The Health Insurance Marketplace,17
irs.gov/businesses/small-businesses-&-self-employed/how-to-apply-for-an-ein,How to Apply for an EIN,17
irs.gov/businesses/small-businesses-&-self-employed/single-member-limited-liability-companies,Single Member Limited Liability Companies,17
irs.gov/individuals,Online Services and Tax Information for Individuals,17
irs.gov/publications/p15/ar02.html,"Publication 15 (2016), (Circular E), Employer's Tax Guide",17
"irs.gov/spanish/tema-152,-informaciÃ_n-sobre-reembolsos","Tema 152, InformaciÃ_n sobre reembolsos",17
irs.gov/uac/before-starting-free-file-fillable-forms,Before Starting Free File Fillable Forms,17
irs.gov/uac/contact-my-local-office-in-new-york,Contact My Local Office in New York,17
justice.gov/vpv404/error/http://www.justice.gov/cgi-bin/outside.cgi?http://www.usajobs.gov=,Page not found | DOJ | Department of Justice,17
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_windowlabel=loginportlet_homepage&loginportlet_homepage_actionoverride=/gov/va/med/mhv/usermgmt/portlet/login/login&_pagelabel=homerightnavloginpage,My HealtheVet,17
nasa.gov/multimedia/imagegallery/iotd.html,NASA Image of the Day | NASA,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a682753-es.html,Clotrimazol: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a689011-es.html,Metronidazol oral: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a690002-es.html,Fluconazol: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a693050-es.html,Omeprazol: MedlinePlus medicinas,17
nlm.nih.gov/medlineplus/spanish/ency/article/000591.htm,Mononucleosis : MedlinePlus enciclopedia mÃ©dica,17
nlm.nih.gov/medlineplus/spanish/ency/article/000647.htm,Sinusitis: MedlinePlus enciclopedia mÃ©dica,17
nlm.nih.gov/medlineplus/spanish/ency/article/001592.htm,Varicela: MedlinePlus enciclopedia mÃ©dica,17
nps.gov/deva/learn/nature/wildflower-update-2016.htm,Wildflower Update 2016 - Death Valley National Park (U.S. National Park Service),17
nps.gov/grsm/index.htm,Great Smoky Mountains National Park (U.S. National Park Service),17
nsf.gov/pubs/2016/nsf16541/nsf16541.htm?wt.mc_id=usnsf_25&wt.mc_ev=click,Antarctic Research (nsf16541) | NSF â€“ National Science Foundation,17
nsopw.gov/,United States Department of Justice National Sex Offender Public Website,17
portal.hud.gov/hudportal/hud?src=/topics/housing_choice_voucher_program_section_8,Housing Choice Voucher Program Section 8,17
public-prod-elis2.uscis.dhs.gov/efile/app/app/#!/dyn/customer/home,USCIS - home,17
regulations.gov/,Regulations.gov - Docket Folder Summary,17
socialsecurity.gov/myaccount/lp/landing-page-bso.html,Manage Your Benefits With A my Social Security Account,17
ssa.gov/planners/taxwithold.html,Benefits Planner: Withholding Income Tax From Your Social Security Benefits,17
studentaid.ed.gov/sa/types/work-study,Work-Study Jobs | Federal Student Aid,17
usajobs.gov/studentsandgrads,USAJOBS - Student Jobs,17
uscis.gov/news,News | USCIS,17
uscis.gov/videos/consideration-deferred-action-childhood-arrivals-how-apply-or-renew-daca?ftopics_tid=_&embed=1,Consideration of Deferred Action for Childhood Arrivals - How to Apply or Renew DACA | USCIS,17
vacareers.va.gov/,VA Careers Home,17
vets.gov/veterans-employment-center,Home Veterans Employment Centerâ„¢ : Vets.gov,17
weather.gov/bou/,"Denver/Boulder, CO",17
weather.gov/fsd/,"Sioux Falls, SD",17
weather.gov/grb/,"Green Bay, WI",17
www2.ed.gov/about/contacts/gen/index.html,Contact Us & General Inquiries | U.S. Department of Education,17
xnet.nasa.gov/,NASA Armstrong Xnet,17
ada.gov/regs2010/2010adastandards/2010adastandards.htm,2010 ADA Standards for Accessible Design,16
apps.irs.gov/app/taxmat/shoppingcart.jsp,Shopping Cart Summary Page,16
archives.gov/veterans/military-service-records/standard-form-180.html,"Military Personnel Records, SF-180",16
benefits.va.gov/gibill/apply.asp,Apply for Benefits - Education and Training,16
bop.gov/inmates/communications.jsp,BOP: Community Ties,16
catalog.usmint.gov/product-schedule/,Sites-USM-Site,16
cbp.gov/trade/automated,ACE and Automated Systems | U.S. Customs and Border Protection,16
cdc.gov/zika/hc-providers/diagnostic.html,Diagnostic Testing | Zika virus | CDC,16
ceac.state.gov/genniv/general/photo/photo_confirmphoto.aspx?node=confirmphoto,Nonimmigrant Visa - Confirm Photo,16
ceac.state.gov/genniv/general/review/review_reviewlocation.aspx?node=reviewlocation,Non-Immigrant Visa - Review Location,16
ceac.state.gov/pps/payment/makepayment.aspx,PPS,16
choosemyplate.gov/fruit,All About the Fruit Group | Choose MyPlate,16
choosemyplate.gov/fruits-nutrients-health,Nutrients and health benefits | Choose MyPlate,16
cpars.gov/,Contractor Performance Assessment Reporting System,16
dol.gov/whd/fmla/fmla-faqs.htm,FAQs: FMLA - Wage and Hour Division (WHD) - U.S. Department of Labor,16
donotcall.gov/default.aspx,National Do Not Call Registry,16
earthquake.usgs.gov/earthquakes/eventpage/us200050wc,"M6.0 - 153km SE of Tobelo, Indonesia",16
ed.gov/1098-e,1098-E Tax Form | U.S. Department of Education,16
egov.uscis.gov/casestatus/displaylogon.do,myUSCIS - Login,16
faq.ssa.gov/ics/support/ticketnewwizard.asp?style=classic,Email Our Support Team,16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 36.97Â°N and Longitude 122.03Â°W (Elev. 69 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.67Â°N and Longitude 121.75Â°W (Elev. 558 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.52Â°N and Longitude 119.81Â°W (Elev. 4600 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.75Â°N and Longitude 121.09Â°W (Elev. 4049 ft),16
goes.noaa.gov/gssloops/wcir.html,West CONUS: Infrared Loop - NOAA GOES Geostationary Satellite Server,16
hhs.gov/,HHS.gov,16
irs.gov/credits-&-deductions/individuals,Credits & Deductions for Individuals,16
irs.gov/instructions/index.html,IRS Online Instructions for Forms,16
irs.gov/publications/p521/ar02.html,"Publication 521 (2015), Moving Expenses",16
irs.gov/publications/p530/ar02.html,"Publication 530 (2015), Tax Information for Homeowners",16
irs.gov/publications/p946/ch02.html,"Publication 946 (2015), How To Depreciate Property",16
irs.gov/publications/p970/ch02.html,"Publication 970 (2015), Tax Benefits for Education",16
irs.gov/uac/about-form-w2c,"Form W-2c, Corrected Wage and Tax Statements",16
irs.gov/uac/eftps-the-electronic-federal-tax-payment-system,EFTPS: The Electronic Federal Tax Payment System,16
irs.gov/uac/tax-benefits-for-education:-information-center,Tax Benefits for Education: Information Center,16
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Licensing & Insurance Carrier Search,16
my.usajobs.gov/applicant/document/listdocuments,My Account - Saved Documents,16
myra.gov/,myRA (my Retirement Account) | Home,16
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685032-es.html,Ceftriaxona inyectable: MedlinePlus medicinas,16
nlm.nih.gov/medlineplus/spanish/ency/article/000279.htm,Hepatitis B: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/000292.htm,Hemorroides: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/003106.htm,Hemorragia nasal: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/003130.htm,Heces con sangre o alquitranosas: MedlinePlus enciclopedia mÃ©dica,16
opm.gov/retirement-services/,OPM.gov,16
opm.gov/retirement-services/contact-retirement/,Contact Retirement,16
osha.gov/pls/oshaweb/owasrch.search_form?p_doc_type=standards&p_toc_level=1&p_keyvalue=1910,Regulations (Standards - 29 CFR),16
petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177?from=singlemessage&isappinstalled=0,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang! | We the People: Your Voice in Our Government,16
portal.fmcsa.dot.gov/ursregistrationwizard/,Unified Registration System,16
